航班号,sequenceNo,marketAirlineCode,航空公司,marketAlliance,出发国家,departureCountryCode,departureProvinceId,departureCityId,departureCityCode,出发城市,出发机场三字码,出发机场,departureAirportShortName,departureTerminal,到达国家,arrivalCountryCode,arrivalProvinceId,arrivalCityId,arrivalCityCode,到达城市,到达机场三字码,到达机场,arrivalAirportShortName,arrivalTerminal,飞行时长,transferDuration,飞机型号三字码,飞机型号,飞机尺寸,departureDateTime,arrivalDateTime,leakedVisaTagSwitch,highLightPlaneNo,停留次数,istTransitService,mainSegment,出发日期,出发时间,到达日期,到达时间,operateAirlineCode,operateAirlineName,operateAlliance,operateFlightNo,economy_origin,economy_tax,economy_total,economy_full,bussiness_origin,bussiness_tax,bussiness_total,bussiness_full,数据获取日期
CX362,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,165,0,333,空客330(大),L,2024-04-01 19:20:00,2024-04-01 22:05:00,False,False,0,False,True,2024-04-01,19:20:00,2024-04-01,22:05:00,,,,,1762,397,2159,2708,,,,,2024-03-13
MU510,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,185,0,32L,空客321(中),M,2024-04-01 17:05:00,2024-04-01 20:10:00,False,False,0,False,True,2024-04-01,17:05:00,2024-04-01,20:10:00,,,,,670,340,1010,1626,,,,,2024-03-13
CX376,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,175,0,773,波音777(大),L,2024-04-01 10:20:00,2024-04-01 13:15:00,False,False,0,False,True,2024-04-01,10:20:00,2024-04-01,13:15:00,,,,,2297,397,2694,3276,,,,,2024-03-13
CX342,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,150,0,333,空客330(大),L,2024-04-01 09:35:00,2024-04-01 12:05:00,False,False,0,False,True,2024-04-01,09:35:00,2024-04-01,12:05:00,,,,,2297,397,2694,3193,,,,,2024-03-13
MU508,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,160,0,320,空客320(中),M,2024-04-01 15:05:00,2024-04-01 17:45:00,False,False,0,False,True,2024-04-01,15:05:00,2024-04-01,17:45:00,,,,,618,340,958,1490,,,,,2024-03-13
CX364,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,170,0,333,空客330(大),L,2024-04-01 17:25:00,2024-04-01 20:15:00,False,False,0,False,True,2024-04-01,17:25:00,2024-04-01,20:15:00,,,,,1762,397,2159,2725,,,,,2024-03-13
CX316,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,165,0,333,空客330(大),L,2024-04-01 08:20:00,2024-04-01 11:05:00,False,False,0,False,True,2024-04-01,08:20:00,2024-04-01,11:05:00,,,,,1762,397,2159,2708,,,,,2024-03-13
FM3024,1,FM,上海航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,185,0,32L,空客321(中),M,2024-04-01 17:05:00,2024-04-01 20:10:00,False,False,0,False,True,2024-04-01,17:05:00,2024-04-01,20:10:00,MU,东方航空,天合联盟,MU510,670,340,1010,1626,,,,,2024-03-13
MU702,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,170,0,325,空客321(中),M,2024-04-01 13:55:00,2024-04-01 16:45:00,False,False,0,False,True,2024-04-01,13:55:00,2024-04-01,16:45:00,,,,,618,340,958,1524,,,,,2024-03-13
MU8630,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,145,0,73E,波音738(中),M,2024-04-01 18:50:00,2024-04-01 21:15:00,False,False,0,False,True,2024-04-01,18:50:00,2024-04-01,21:15:00,FM,上海航空,天合联盟,FM810,773,340,1113,1595,,,,,2024-03-13
